employee_id,name,mobile,designation,department,branch_id,joined,aadhaar,pan,bank_masked,salary_type,salary,is_driver,docs_status,status
EMP-0043,Sameer Verma,+91 98241 42366,Driver,Fleet,BR-007,2025-12-20,xxxx xxxx 7790,YVNTW6253K,HDFC ···· 8347,per_trip,18000,TRUE,PAN pending,Active
EMP-0044,Vikram Gupta,+91 98951 61688,Driver,Fleet,BR-017,2024-11-04,xxxx xxxx 3968,NQZVM8583M,ICICI ···· 8325,per_trip,18000,TRUE,PAN pending,Active
EMP-0045,Sanjay Joshi,+91 98713 15611,Driver,Fleet,BR-003,2023-12-13,xxxx xxxx 7127,LYVRI4814Q,Axis ···· 8807,per_trip,18000,TRUE,complete,Active
EMP-0046,Ramesh Verma,+91 98520 82120,Driver,Fleet,BR-001,2025-02-18,xxxx xxxx 1642,JZKLZ4019B,ICICI ···· 5189,per_trip,18000,TRUE,complete,Active
EMP-0047,Jaspreet Bhosale,+91 98324 65896,Driver,Fleet,BR-008,2025-10-22,xxxx xxxx 4375,DLBFT7755F,HDFC ···· 6646,per_trip,18000,TRUE,complete,Active
EMP-0048,Imran Singh,+91 98864 77431,Driver,Fleet,BR-005,2026-01-21,xxxx xxxx 2696,TGHNZ5672R,Axis ···· 2251,per_trip,18000,TRUE,ESIC card missing,Active
EMP-0049,Amit Kulkarni,+91 98552 80212,Sales Executive,Sales,BR-003,2023-01-01,xxxx xxxx 8533,AQZEI3994V,SBI ···· 7419,monthly,34000,FALSE,complete,Active
EMP-0050,Priya Joshi,+91 98730 84141,Sales Executive,Sales,BR-009,2024-11-13,xxxx xxxx 2632,QZGEZ9243W,Axis ···· 1187,monthly,38000,FALSE,complete,Active
EMP-0051,Meena Rao,+91 98175 84042,Accountant,Accounts,BR-006,2021-10-05,xxxx xxxx 2467,BDCJV7154E,SBI ···· 3830,monthly,40000,FALSE,complete,Active
EMP-0052,Lata Yadav,+91 98647 97533,Accountant,Accounts,BR-008,2025-05-28,xxxx xxxx 3128,GSFBU3149V,SBI ···· 3707,monthly,40000,FALSE,PAN pending,Active
EMP-0053,Mahesh Kulkarni,+91 98344 49680,Accountant,Accounts,BR-001,2024-04-25,xxxx xxxx 2797,DWOSD3920G,SBI ···· 1830,monthly,42000,FALSE,PAN pending,Active
EMP-0054,Kiran Nair,+91 98107 61943,HR Executive,Human Resources,BR-005,2025-03-11,xxxx xxxx 1685,MUCUF7516T,SBI ···· 5509,monthly,38000,FALSE,complete,Active
EMP-0055,Rajesh Jha,+91 98863 88296,HR Executive,Human Resources,BR-002,2024-06-17,xxxx xxxx 7172,NQYZT2503T,SBI ···· 2669,monthly,34000,FALSE,complete,Active
EMP-0056,Lata Kulkarni,+91 98240 12488,Sales Executive,Sales,BR-001,2024-08-19,xxxx xxxx 2202,USNRG4144N,ICICI ···· 6238,monthly,32000,FALSE,PAN pending,Active
EMP-0057,Manoj Chavan,+91 98297 47241,Accountant,Accounts,BR-007,2026-02-10,xxxx xxxx 9395,RZIUP2939T,HDFC ···· 9824,monthly,28000,FALSE,complete,Active
EMP-0058,Sanjay Kulkarni,+91 98443 12946,Sales Executive,Sales,BR-003,2025-10-25,xxxx xxxx 4998,HSLCS7542V,ICICI ···· 2570,monthly,24000,FALSE,complete,Active
EMP-0059,Gopal Sharma,+91 98115 77785,Accountant,Accounts,BR-009,2024-12-03,xxxx xxxx 6160,TBNBD4746K,Axis ···· 1415,monthly,32000,FALSE,complete,Active
EMP-0060,Anil Bhosale,+91 98330 20786,HR Executive,Human Resources,BR-012,2025-06-02,xxxx xxxx 4384,ZXIVG7916U,HDFC ···· 6506,monthly,28000,FALSE,complete,Active
EMP-0061,Ramesh Bhosale,+91 98877 22484,Sales Executive,Sales,BR-001,2021-03-23,xxxx xxxx 8759,IOPSS3958P,ICICI ···· 5608,monthly,26000,FALSE,PAN pending,Active
EMP-0062,Arif Wankhede,+91 98306 44158,Sales Executive,Sales,BR-003,2023-04-11,xxxx xxxx 5918,IRHJN6433J,HDFC ···· 3307,monthly,30000,FALSE,complete,Active
EMP-0063,Sunita Singh,+91 98501 45944,Accountant,Accounts,BR-005,2022-06-23,xxxx xxxx 6987,TERGY8085M,SBI ···· 1274,monthly,26000,FALSE,complete,Active
EMP-0064,Pooja Nair,+91 98643 33192,Ops Coordinator,Operations,BR-002,2021-09-18,xxxx xxxx 6072,BNKLG6302I,SBI ···· 9694,monthly,32000,FALSE,ESIC card missing,Active
EMP-0065,Priya Agrawal,+91 98392 38883,Ops Coordinator,Operations,BR-015,2025-05-09,xxxx xxxx 6684,HPRYV5086Y,ICICI ···· 2467,monthly,32000,FALSE,ESIC card missing,Active
EMP-0066,Neha Chauhan,+91 98319 92760,Booking Executive,Operations,BR-005,2022-09-20,xxxx xxxx 2886,LEEEZ5625F,HDFC ···· 5047,monthly,42000,FALSE,complete,Active
EMP-0067,Pooja Wankhede,+91 98436 91862,Ops Coordinator,Operations,BR-011,2021-09-29,xxxx xxxx 4038,BZQFS6597Y,HDFC ···· 7911,monthly,28000,FALSE,complete,Active
EMP-0068,Alok Kulkarni,+91 98216 77075,Dispatcher,Operations,BR-001,2023-08-25,xxxx xxxx 1361,ODYTU5881L,HDFC ···· 3707,monthly,42000,FALSE,complete,Active
EMP-0069,Mahesh Kale,+91 98290 75257,Booking Executive,Operations,BR-006,2023-10-05,xxxx xxxx 2871,XBQSG5379G,HDFC ···· 8246,monthly,38000,FALSE,ESIC card missing,Active
EMP-0070,Vikram Dubey,+91 98273 33382,Ops Coordinator,Operations,BR-003,2023-08-12,xxxx xxxx 4790,PECOO1585B,SBI ···· 2728,monthly,42000,FALSE,complete,Active
EMP-0071,Raghunath Khan,+91 98236 33217,Ops Coordinator,Operations,BR-009,2025-01-31,xxxx xxxx 8243,BZWNI9108B,HDFC ···· 7012,monthly,42000,FALSE,complete,Active
EMP-0072,Deepak Verma,+91 98464 51294,Dispatcher,Operations,BR-002,2023-01-03,xxxx xxxx 1181,IVNUM8176C,ICICI ···· 4626,monthly,24000,FALSE,complete,Active
EMP-0073,Amit Khan,+91 98936 54077,Dispatcher,Operations,BR-001,2025-04-02,xxxx xxxx 4009,BDTAQ6315X,SBI ···· 3916,monthly,28000,FALSE,complete,Active
EMP-0074,Meena Rao,+91 98241 41821,Dispatcher,Operations,BR-003,2022-12-07,xxxx xxxx 6277,BOBVZ9580U,SBI ···· 3474,monthly,40000,FALSE,ESIC card missing,Active
EMP-0075,Alok Sinha,+91 98752 78725,Dispatcher,Operations,BR-002,2025-05-31,xxxx xxxx 5665,CNSAJ8780D,Axis ···· 1713,monthly,38000,FALSE,complete,Active
EMP-0076,Mahesh Kamble,+91 98945 55739,Mechanic,Maintenance,BR-004,2026-02-08,xxxx xxxx 3904,BDBXL2364H,ICICI ···· 1974,monthly,22000,FALSE,ESIC card missing,Active
EMP-0077,Lata Yadav,+91 98360 76759,Mechanic,Maintenance,BR-002,2024-11-19,xxxx xxxx 3379,HLACD3074N,ICICI ···· 8724,monthly,22000,FALSE,complete,Active
EMP-0078,Rahul Jha,+91 98577 51189,Mechanic,Maintenance,BR-002,2022-04-08,xxxx xxxx 9589,FPWZR7176O,HDFC ···· 4575,monthly,22000,FALSE,complete,Active
EMP-0079,Sameer Sai,+91 98745 20437,Mechanic,Maintenance,BR-002,2024-04-15,xxxx xxxx 7420,PAAHI7894I,HDFC ···· 5210,monthly,22000,FALSE,complete,Active
EMP-0080,Rahul Singh,+91 98812 37377,Mechanic,Maintenance,BR-002,2025-08-18,xxxx xxxx 2389,OGKTD2367S,SBI ···· 7905,monthly,22000,FALSE,complete,Active
EMP-0081,Suresh Patel,+91 98578 17702,Mechanic,Maintenance,BR-002,2022-01-15,xxxx xxxx 1039,JIZWP4618C,SBI ···· 8957,monthly,22000,FALSE,complete,Active
